qid,docno
1,75773gwg
1,ne5r4d4b
1,kqqantwg
1,12dcftwt
1,8ccl9aui
1,es7q6c90
1,4dtk1kyh
1,k86pf2yf
1,irkjiqll
1,pl48ev5o
1,h8ahn8fw
1,zy8qjaai
1,6foz003n
1,jpnbppry
1,kyrkx2ii
1,ehjui7u6
1,kgifmjvb
1,wmfcey6f
1,7t63xpvc
1,0194oljo
1,e3wjo0yk
1,utsr0zv7
1,ec8lpgl3
1,558awj1m
1,t7gpi2vo
1,vq4t53l9
1,alx5uc95
1,nusxjjnq
1,jdpxu0ef
1,m9fikesi
1,g8rsiiy7
1,5hio4lgc
1,dnxhtbxn
1,1k5h0tqi
1,e53b0hj6
1,ax6v6ham
1,d2knbzhl
1,r0peje13
1,pe8qxorf
1,pgn7f0x9
1,simjaxvg
1,t1iagum7
1,qtx0d5f8
1,yzp9wjuk
1,hncf2qe8
1,hyo1k7ig
1,z14rf85c
1,qw05apnf
1,ab757i3f
1,hmvo5b0q
1,d6by9p41
1,lt09z61w
1,wxn714ib
1,8ywd6j2b
1,u65mey2z
1,ezi2mret
1,qyf59ghf
1,7nkpfm17
1,7csfkoh8
1,5ebutfr2
1,p0kv1pht
1,6k5ac3f2
1,91msz1dz
1,p61j2caf
1,uqls3p01
1,7z7hvxyu
1,uaoyounl
1,zel9a3u6
1,hfkzu18p
1,hewbl5yu
1,dbowa5bt
1,nlzdto1h
1,ccdj7137
1,ghkef7wj
1,kj67rd7g
1,orqlbw9m
1,e6h1qvdk
1,3ll2tlzr
1,z9dolxky
1,6ez0u7iq
1,1mjaycee
1,8l411r1w
1,ggzbuhut
1,pjeddlgs
1,sigbm70i
1,dle938bt
1,deajwhx0
1,icwvm7jp
1,xl8gfkjs
1,ij5sr88p
1,e2zyplbi
1,2054tkb7
1,ja2s5cxy
1,q2gwajdj
1,a4jn6gpk
1,2qto9vsb
1,p9tx2oer
1,3dm9duoz
1,68g8noys
1,fs07zdu6
1,9gt30fkc
1,pi6a2ql7
1,hyjzofps
1,1ub01j2x
1,3f9dbwd2
1,47pszpgp
1,vh96sjss
1,misprnq8
1,l14ux3k1
1,dv9m19yk
1,x3sb1o4u
1,shvsnkxd
1,rjjuda02
1,oekr2d5w
1,juz9jnfk
1,wlmu65vm
1,aeof1muv
1,kqj4wwx5
1,6zfmjq9p
1,deee71uw
1,wco27nop
1,lfo6otkc
1,n5ppuvsd
1,8f5m0gej
1,4vnheihi
1,jwopq9jl
1,ccxj4s6j
1,xndojxqk
1,mx1w3l0t
1,ds8pg8fa
1,1tl71xqw
1,1de98sxz
1,aycrcuwx
1,bmzzn8nc
1,w9ta5gs1
1,4b6jtbor
1,d80ispem
1,djclli8n
1,2bwm4xup
1,d1p9e5sm
1,v8i97mbx
1,p6h2a0d5
1,tsq26r7u
1,siz32uvy
1,fj952e98
1,on70zzn0
1,2hb28brw
1,1c47w4q5
1,dyhd8p8z
1,gxarfjkn
1,kw7mon2o
1,1pnc889f
1,solp6ho1
1,42wv7zl6
1,j5teavse
1,uadfehr6
1,f8vbflx6
1,o3b5zm5l
1,29n0gtq0
1,rr7r7ef0
1,49360l2a
1,qp4efhwq
1,m5ya2ygh
1,9dwpnvxf
1,bo8wiiqy
1,4zsuwe6z
1,3jgedokv
1,wuegn0jg
1,ft4rbcxf
1,2tyt8255
1,pfv7q4v6
1,k9yus2sv
1,m2bmx427
1,feq8djas
1,ctb7u1zy
1,bti92s06
1,2w0zr9c0
1,dkreswvk
1,ssxq1ns2
1,bojfc3q0
1,7cb88t8n
1,3fiz0tqy
1,1bvsn9e8
1,jct2t2br
1,lpeojuvg
1,i836d6im
1,bh717utp
1,dtv7to3l
1,walpfa6r
1,sdtxi8xw
1,02say5f1
1,gejp4xm8
1,otal8v81
1,c6yrtwq9
1,xtibubra
1,oxs048lr
1,fybo3ltn
1,zcy4hpqp
1,3zy5dgxz
1,g0uxidjd
1,yg4rs07n
1,n6jgr1kx
1,4uaa6kpg
1,d3gdq69k
1,zhxrlopp
1,b23xm6sg
