,Language,Query,GitHubUrl,code,relevance
54,Python,write csv,https://github.com/sentinel-hub/sentinelhub-py/blob/08a83b7f1e289187159a643336995d8369860fea/sentinelhub/io_utils.py#L258-L271,"def write_csv(filename, data, delimiter=CSV_DELIMITER): """""" Write image data to CSV file :param filename: name of CSV file to write data to :type filename: str :param data: image data to write to CSV file :type data: numpy array :param delimiter: delimiter used in CSV file. Default is ``;`` :type delimiter: str """""" with open(filename, 'w') as file: csv_writer = csv.writer(file, delimiter=delimiter) for line in data: csv_writer.writerow(line)",3
176,Python,write csv,https://github.com/jordanjoz1/flickr-views-counter/blob/cba89285823ab39afd9f40a19db82371d45bd830/count_views.py#L130-L138,"def write_to_csv(fname, header, rows): with open(fname, 'wb') as csvfile: csvwriter = csv.writer(csvfile, delimiter=',', quotechar='|', quoting=csv.QUOTE_MINIMAL) csvwriter.writerow(header) for row in rows: csvwriter.writerow( [s.encode(""utf-8"").replace(',', '').replace('\n', '') for s in row])",3
357,Python,write csv,https://github.com/fastai/fastai/blob/9fb84a5cdefe5a766cdb792b8f5d8971737b7e67/fastai/widgets/image_cleaner.py#L209-L218,"def write_csv(self): # Get first element's file path so we write CSV to same directory as our data csv_path = self._path/'cleaned.csv' with open(csv_path, 'w') as f: csv_writer = csv.writer(f) csv_writer.writerow(['name','label']) for pair in self._csv_dict.items(): pair = [os.path.relpath(pair[0], self._path), pair[1]] csv_writer.writerow(pair) return csv_path",3
615,Python,write csv,https://github.com/majerteam/sylk_parser/blob/0f62f9d3ca1c273017d7ea728f9db809f2241389/sylk_parser/sylk_parser.py#L27-L40,"def to_csv(self, fbuf, quotechar='""', delimiter=','): csvwriter = csv.writer( fbuf, quotechar=quotechar, delimiter=delimiter, lineterminator=""\n"", quoting=csv.QUOTE_ALL ) if self.headers: csvwriter.writerow(self.headers) for line in self.sylk_handler.stream_rows(): csvwriter.writerow(line)",3
722,Python,write csv,https://github.com/gem/oq-engine/blob/8294553a0b8aba33fd96437a35065d03547d0040/openquake/hmtk/seismicity/smoothing/smoothed_seismicity.py#L491-L518,"def write_to_csv(self, filename): ''' Exports to simple csv :param str filename: Path to file for export ''' fid = open(filename, 'wt') # Create header list header_info = ['Longitude', 'Latitude', 'Depth', 'Observed Count', 'Smoothed Rate', 'b-value'] writer = csv.DictWriter(fid, fieldnames=header_info) headers = dict((name0, name0) for name0 in header_info) # Write to file writer.writerow(headers) for row in self.data: # institute crude compression by omitting points with no seismicity # and taking advantage of the %g format if row[4] == 0: continue row_dict = {'Longitude': '%g' % row[0], 'Latitude': '%g' % row[1], 'Depth': '%g' % row[2], 'Observed Count': '%d' % row[3], 'Smoothed Rate': '%.6g' % row[4], 'b-value': '%g' % self.bval} writer.writerow(row_dict) fid.close()",3
1271,Python,write csv,https://github.com/probcomp/crosscat/blob/4a05bddb06a45f3b7b3e05e095720f16257d1535/src/utils/data_utils.py#L306-L311,"def write_csv(filename, T, header = None): with open(filename,'w') as fh: csv_writer = csv.writer(fh, delimiter=',') if header != None: csv_writer.writerow(header) [csv_writer.writerow(T[i]) for i in range(len(T))]",3
1883,Python,write csv,https://github.com/rvswift/EB/blob/341880b79faf8147dc9fa6e90438531cd09fabcc/EB/builder/splitter/splitter.py#L37-L57,"def write_csv_header(mol, csv_writer): """""" Write the csv header """""" # create line list where line elements for writing will be stored line = [] # ID line.append('id') # status line.append('status') # query labels queryList = mol.properties.keys() for queryLabel in queryList: line.append(queryLabel) # write line csv_writer.writerow(line)",3
1946,Python,write csv,https://github.com/quantopian/zipline/blob/77ad15e6dc4c1cbcdc133653bac8a63fc704f7fe/zipline/data/bcolz_daily_bars.py#L209-L237,"def write_csvs(self, asset_map, show_progress=False, invalid_data_behavior='warn'): """"""Read CSVs as DataFrames from our asset map. Parameters ---------- asset_map : dict[int -> str] A mapping from asset id to file path with the CSV data for that asset show_progress : bool Whether or not to show a progress bar while writing. invalid_data_behavior : {'warn', 'raise', 'ignore'} What to do when data is encountered that is outside the range of a uint32. """""" read = partial( read_csv, parse_dates=['day'], index_col='day', dtype=self._csv_dtypes, ) return self.write( ((asset, read(path)) for asset, path in iteritems(asset_map)), assets=viewkeys(asset_map), show_progress=show_progress, invalid_data_behavior=invalid_data_behavior, )",3
187,Python,write csv,https://github.com/googledatalab/pydatalab/blob/d9031901d5bca22fe0d5925d204e6698df9852e1/solutionbox/structured_data/mltoolbox/_structured_data/prediction/predict.py#L307-L346,"def expand(self, datasets): import json tf_graph_predictions, errors = datasets if self._output_format == 'json': (tf_graph_predictions | 'Write Raw JSON' >> beam.io.textio.WriteToText(os.path.join(self._output_dir, 'predictions'), file_name_suffix='.json', coder=RawJsonCoder(), shard_name_template=self._shard_name_template)) elif self._output_format == 'csv': # make a csv header file header = [col['name'] for col in self._schema] csv_coder = CSVCoder(header) (tf_graph_predictions.pipeline | 'Make CSV Header' >> beam.Create([json.dumps(self._schema, indent=2)]) | 'Write CSV Schema File' >> beam.io.textio.WriteToText(os.path.join(self._output_dir, 'csv_schema'), file_name_suffix='.json', shard_name_template='')) # Write the csv predictions (tf_graph_predictions | 'Write CSV' >> beam.io.textio.WriteToText(os.path.join(self._output_dir, 'predictions'), file_name_suffix='.csv', coder=csv_coder, shard_name_template=self._shard_name_template)) else: raise ValueError('FormatAndSave: unknown format %s', self._output_format) # Write the errors to a text file. (errors | 'Write Errors' >> beam.io.textio.WriteToText(os.path.join(self._output_dir, 'errors'), file_name_suffix='.txt', shard_name_template=self._shard_name_template))",2
646,Python,write csv,https://github.com/rvswift/EB/blob/341880b79faf8147dc9fa6e90438531cd09fabcc/EB/builder/splitter/splitter.py#L90-L113,"def csv_writer(molecules, options, prefix): """""" Write a csv file. """""" # output file outdir = os.getcwd() filename = prefix + '.csv' outfile = os.path.join(outdir, filename) # initiate csv writer object f = open(outfile, 'w') csv_writer = csv.writer(f) # write csv header mol = molecules[0] write_csv_header(mol, csv_writer) # write csv lines for mol in molecules: write_csv_line(mol, csv_writer, options) # close file f.close()",2
