user,movie,rating
Anonymous_000,spider-man 2,5
Anonymous_000,men in black,5
Anonymous_000,pulp fiction,5
Anonymous_000,the amazing spider-man,5
Anonymous_000,the amazing spider-man 2,5
Anonymous_000,the joy luck club,4
Anonymous_000,once upon a time in america,4
Anonymous_000,deadpool,3
Anonymous_000,the lord of the rings: the return of the king,5
Anonymous_000,twilight,4
Anonymous_000,9,5
Anonymous_000,howl's moving castle,5
Anonymous_000,spirited away,5
Anonymous_000,porco rosso,5
Anonymous_000,a chinese ghost story,5
Anonymous_000,ashes of time,5
Anonymous_000,titanic,5
Anonymous_001,old boy,5
Anonymous_002,the avengers,5
Anonymous_003,love letter,5
Anonymous_004,the irishman,4
Anonymous_001,don't worry darling,2
Anonymous_005,the dark knight,5
Anonymous_006,don't worry darling,4
Anonymous_007,the irishman,4
Anonymous_008,the silence of the lambs,5
Anonymous_002,bullet train,4
Anonymous_004,spider-man 2,2
Anonymous_009,the curious case of benjamin button,5
Anonymous_001,barbarians,4
Anonymous_006,it,5
Anonymous_005,inception,5
Anonymous_010,hunt for the wilderpeople,5
Anonymous_007,spider-man 2,2
Anonymous_001,x,3
Anonymous_005,interstellar,4
Anonymous_009,interstellar,5
Anonymous_004,the little prince,5
Anonymous_006,enola holmes 2,5
Anonymous_011,spider-man 2,4
Anonymous_007,portrait of a lady on fire,4
Anonymous_012,terminator 1,5
Anonymous_013,to all the boys i've loved before,4
Anonymous_004,men in black,3
Anonymous_014,big fish,5
Anonymous_010,moneyball,4
Anonymous_005,tenet,2
Anonymous_012,terminator 2,5
Anonymous_015,annabelle,5
Anonymous_016,men in black,4
Anonymous_017,life of brian,4
Anonymous_018,skyfall,5
Anonymous_014,harry potter,5
Anonymous_005,memento,4
Anonymous_011,skyfall,4
Anonymous_019,avatar,4
Anonymous_020,the irishman,4
Anonymous_002,2012,5
Anonymous_021,to all the boys i've loved before,2
Anonymous_022,interstellar,5
Anonymous_023,spider-man,4
Anonymous_010,men in black,4
Anonymous_024,green book,4
Anonymous_013,parasite,5
Anonymous_015,the conjuring,4
Anonymous_025,black panther,3
Anonymous_026,skyfall,4
Anonymous_011,the little prince,5
Anonymous_027,the wolf of wall street,5
Anonymous_007,fight club,5
Anonymous_002,world war z,5
Anonymous_028,the imitation game,5
Anonymous_029,kung fu panda,4
Anonymous_016,the bridges of madison county,3
Anonymous_001,scooby doo 2: monsters unleashed,5
Anonymous_004,the two popes,3
Anonymous_005,fight club,5
Anonymous_015,smile,1
Anonymous_009,inception,5
Anonymous_030,spider-man 2 (2004),4
Anonymous_031,eternal sunshine of the spotless mind,5
Anonymous_020,imitation game,5
Anonymous_023,spider-man 2,4
Anonymous_032,catch me if you can,5
Anonymous_033,nope,3
Anonymous_034,spider-man (2002),5
Anonymous_035,moneyball,5
Anonymous_019,goodfellas,5
Anonymous_010,the white tiger,5
Anonymous_036,spider-man 2,4
Anonymous_011,men in black,4
Anonymous_015,coco,5
Anonymous_037,harry potter,5
Anonymous_038,memories of matsuko,5
Anonymous_007,one night in miami,3
Anonymous_017,casino royale,4
Anonymous_031,the proposal,4
Anonymous_028,spider-man,3
Anonymous_014,the hunger games,2
Anonymous_024,argo,5
Anonymous_001,el camino,4
Anonymous_018,kung fu panda,5
Anonymous_006,parasite,5
Anonymous_004,a clockwork orange,5
Anonymous_039,klaus,5
Anonymous_025,eternals,3
Anonymous_002,the cabin in the woods,4
Anonymous_040,farewell my concubine,5
Anonymous_001,chinatown,5
Anonymous_019,parasite,4
Anonymous_041,the shawshank redemption,5
Anonymous_021,spider-man 2,5
Anonymous_022,batman: the dark knight,5
Anonymous_029,the imitation game,5
Anonymous_030,the little prince (2015),4
